"Date","Price","Open","High","Low","Vol.","Change %"
"12/21/2023","0.6354","0.5897","0.6393","0.5821","226.79M","7.75%"
"12/20/2023","0.5897","0.5759","0.6095","0.5690","198.66M","2.40%"
"12/19/2023","0.5759","0.6021","0.6170","0.5667","198.94M","-4.45%"
"12/18/2023","0.6027","0.5806","0.6027","0.5452","204.18M","3.86%"
"12/17/2023","0.5803","0.6080","0.6180","0.5774","133.19M","-4.59%"
"12/16/2023","0.6082","0.6011","0.6255","0.5874","152.36M","1.30%"
"12/15/2023","0.6004","0.6432","0.6537","0.6001","240.57M","-6.68%"
"12/14/2023","0.6434","0.6701","0.6789","0.6144","345.56M","-3.57%"
"12/13/2023","0.6672","0.5782","0.6776","0.5429","493.75M","15.41%"
"12/12/2023","0.5781","0.5514","0.6064","0.5514","348.82M","4.98%"
"12/11/2023","0.5507","0.5944","0.5980","0.5236","403.94M","-7.45%"
"12/10/2023","0.5950","0.5812","0.6137","0.5703","307.60M","2.94%"
"12/09/2023","0.5780","0.5462","0.6464","0.5443","716.14M","5.98%"
"12/08/2023","0.5454","0.4567","0.5704","0.4523","514.33M","19.76%"
"12/07/2023","0.4554","0.4431","0.4592","0.4317","180.50M","2.82%"
"12/06/2023","0.4429","0.4259","0.4549","0.4172","270.90M","4.04%"
"12/05/2023","0.4257","0.4068","0.4259","0.3972","153.78M","4.59%"
"12/04/2023","0.4070","0.3951","0.4149","0.3932","177.28M","3.06%"
"12/03/2023","0.3949","0.3977","0.4026","0.3879","91.98M","-0.73%"
"12/02/2023","0.3978","0.3844","0.3980","0.3827","68.54M","3.51%"
"12/01/2023","0.3843","0.3758","0.3854","0.3736","56.34M","2.26%"
"11/30/2023","0.3758","0.3814","0.3827","0.3721","59.95M","-1.55%"
"11/29/2023","0.3817","0.3858","0.3890","0.3777","68.20M","-1.06%"
"11/28/2023","0.3858","0.3775","0.3882","0.3696","79.18M","2.12%"
"11/27/2023","0.3778","0.3872","0.3919","0.3713","70.68M","-2.45%"
"11/26/2023","0.3873","0.3940","0.3955","0.3800","64.48M","-1.73%"
"11/25/2023","0.3941","0.3863","0.3957","0.3847","52.14M","2.05%"
"11/24/2023","0.3862","0.3879","0.3976","0.3840","109.00M","-0.23%"
"11/23/2023","0.3871","0.3806","0.3873","0.3765","68.04M","1.81%"
"11/22/2023","0.3802","0.3558","0.3872","0.3558","94.22M","6.56%"
"11/21/2023","0.3568","0.3799","0.3898","0.3558","168.62M","-6.18%"
"11/20/2023","0.3803","0.3844","0.3990","0.3781","133.03M","-0.99%"
"11/19/2023","0.3841","0.3776","0.3856","0.3689","101.89M","1.86%"
"11/18/2023","0.3771","0.3670","0.3776","0.3494","112.23M","2.70%"
"11/17/2023","0.3672","0.3710","0.3782","0.3535","142.44M","-1.00%"
"11/16/2023","0.3709","0.3790","0.4093","0.3599","307.19M","-2.06%"
"11/15/2023","0.3787","0.3577","0.3793","0.3537","127.95M","5.81%"
"11/14/2023","0.3579","0.3566","0.3716","0.3420","162.29M","0.28%"
"11/13/2023","0.3569","0.3833","0.3883","0.3542","173.26M","-6.91%"
"11/12/2023","0.3834","0.3840","0.3911","0.3718","131.77M","-0.26%"
"11/11/2023","0.3844","0.3860","0.3948","0.3699","198.19M","-0.49%"
"11/10/2023","0.3863","0.3682","0.3879","0.3637","190.52M","4.92%"
"11/09/2023","0.3682","0.3577","0.3859","0.3453","275.70M","2.91%"
"11/08/2023","0.3578","0.3509","0.3601","0.3488","113.77M","1.85%"
"11/07/2023","0.3513","0.3623","0.3654","0.3342","205.19M","-3.06%"
"11/06/2023","0.3624","0.3419","0.3755","0.3376","179.84M","6.06%"
"11/05/2023","0.3417","0.3283","0.3498","0.3261","130.05M","4.24%"
"11/04/2023","0.3278","0.3290","0.3301","0.3209","63.43M","-0.43%"
"11/03/2023","0.3292","0.3233","0.3292","0.3115","134.18M","1.92%"
"11/02/2023","0.3230","0.3075","0.3291","0.2999","201.97M","5.11%"
"11/01/2023","0.3073","0.2930","0.3086","0.2844","144.16M","4.92%"
